code;protein
A1BG;Alpha-1B-glycoprotein
AAMDC;Mth938 domain-containing protein
AARSD1;Alanyl-tRNA editing protein Aarsd1
ABCA2;ATP-binding cassette sub-family A member 2
ABHD14B;Protein ABHD14B
ABL1;Tyrosine-protein kinase ABL1
ABO;Histo-blood group ABO system transferase
ABRAXAS2;BRISC complex subunit Abraxas 2
"ACAA1;3-ketoacyl-CoA thiolase, peroxisomal"
"ACADM;Medium-chain specific acyl-CoA dehydrogenase, mitochondrial"
"ACADSB;Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial"
ACAN;Aggrecan core protein
ACE;Angiotensin-converting enzyme
ACE2;Angiotensin-converting enzyme 2
ACHE;Acetylcholinesterase
ACOT13;Acyl-coenzyme A thioesterase 13
ACOX1;Peroxisomal acyl-coenzyme A oxidase 1
ACP1;Low molecular weight phosphotyrosine protein phosphatase
ACP5;Tartrate-resistant acid phosphatase type 5
ACP6;Lysophosphatidic acid phosphatase type 6
ACRBP;Acrosin-binding protein
ACRV1;Acrosomal protein SP-10
ACSL1;Long-chain-fatty-acid--CoA ligase 1
"ACTA2;Actin, aortic smooth muscle"
ACTN2;Alpha-actinin-2
ACTN4;Alpha-actinin-4
ACVRL1;Serine/threonine-protein kinase receptor R3
ACY1;Aminoacylase-1
ACY3;N-acyl-aromatic-L-amino acid amidohydrolase
ACYP1;Acylphosphatase-1
ADA;Adenosine deaminase
ADA2;Adenosine deaminase 2
ADAM12;Disintegrin and metalloproteinase domain-containing protein 12
ADAM15;Disintegrin and metalloproteinase domain-containing protein 15
ADAM22;Disintegrin and metalloproteinase domain-containing protein 22
ADAM23;Disintegrin and metalloproteinase domain-containing protein 23
ADAM8;Disintegrin and metalloproteinase domain-containing protein 8
ADAM9;Disintegrin and metalloproteinase domain-containing protein 9
ADAMTS1;A disintegrin and metalloproteinase with thrombospondin motifs 1
ADAMTS13;A disintegrin and metalloproteinase with thrombospondin motifs 13
ADAMTS15;A disintegrin and metalloproteinase with thrombospondin motifs 15
ADAMTS16;A disintegrin and metalloproteinase with thrombospondin motifs 16
ADAMTS4;A disintegrin and metalloproteinase with thrombospondin motifs 4
ADAMTS8;A disintegrin and metalloproteinase with thrombospondin motifs 8
ADAMTSL2;ADAMTS-like protein 2
ADAMTSL4;ADAMTS-like protein 4
ADAMTSL5;ADAMTS-like protein 5
ADCYAP1R1;Pituitary adenylate cyclase-activating polypeptide type I receptor
ADD1;Alpha-adducin
ADGRB3;Adhesion G protein-coupled receptor B3
ADGRD1;Adhesion G-protein coupled receptor D1
ADGRE1;Adhesion G protein-coupled receptor E1
ADGRE2;Adhesion G protein-coupled receptor E2
ADGRE5;Adhesion G protein-coupled receptor E5
ADGRF5;Adhesion G protein-coupled receptor F5
ADGRG1;Adhesion G-protein coupled receptor G1
ADGRG2;Adhesion G-protein coupled receptor G2
ADGRV1;Adhesion G-protein coupled receptor V1
ADH1B;All-trans-retinol dehydrogenase
ADH4;All-trans-retinol dehydrogenase [NAD(+)] ADH4
ADIPOQ;Adiponectin
ADM;Pro-adrenomedullin
