Assay	UniProt	Panel
AARSD1	Q9BTE6	Oncology
ABHD14B	Q96IU4	Neurology
ABL1	P00519	Oncology
ACAA1	P09110	Oncology
ACAN	P16112	Cardiometabolic
ACE2	Q9BYF1	Cardiometabolic
ACOX1	Q15067	Cardiometabolic
ACP5	P13686	Cardiometabolic
ACP6	Q9NPH0	Oncology
ACTA2	P62736	Cardiometabolic
ACTN4	O43707	Inflammation
ACVRL1	P37023	Neurology
ACY1	Q03154	Cardiometabolic
ADA	P00813	Inflammation
ADA2	Q9NZK5	Cardiometabolic
ADAM15	Q13444	Cardiometabolic
ADAM22	Q9P0K1	Neurology
ADAM23	O75077	Inflammation
ADAM8	P78325	Neurology
ADAMTS13	Q76LX8	Cardiometabolic
ADAMTS15	Q8TE58	Oncology
ADAMTS16	Q8TE57	Cardiometabolic
ADAMTS8	Q9UP79	Oncology
ADCYAP1R1	P41586	Oncology
ADGRB3	O60242	Neurology
ADGRE2	Q9UHX3	Inflammation
ADGRE5	P48960	Cardiometabolic
ADGRG1	Q9Y653	Oncology
ADGRG2	Q8IZP9	Cardiometabolic
ADH4	P08319	Cardiometabolic
ADM	P35318	Oncology
AFP	P02771	Neurology
AGER	Q15109	Inflammation
AGR2	O95994	Neurology
AGR3	Q8TD06	Oncology
AGRN	O00468	Inflammation
AGRP	O00253	Inflammation
AGXT	P21549	Cardiometabolic
AHCY	P23526	Cardiometabolic
AHSP	Q9NZD4	Neurology
AIF1	P55008	Oncology
AIFM1	O95831	Oncology
AK1	P00568	Cardiometabolic
AKR1B1	P15121	Oncology
AKR1C4	P17516	Cardiometabolic
AKT1S1	Q96B36	Neurology
AKT3	Q9Y243	Oncology
ALCAM	Q13740	Cardiometabolic
ALDH1A1	P00352	Neurology
ALDH3A1	P30838	Inflammation
ALPP	P05187	Oncology
AMBN	Q9NP70	Inflammation
AMBP	P02760	Oncology
AMFR	Q9UKV5	Neurology
AMIGO2	Q86SJ2	Oncology
AMN	Q9BXJ7	Inflammation
AMY2A	P04746	Cardiometabolic
AMY2B	P19961	Cardiometabolic
ANG	P03950	Cardiometabolic
ANGPT1	Q15389	Inflammation
ANGPT2	O15123	Oncology
ANGPTL1	O95841	Cardiometabolic
ANGPTL2	Q9UKU9	Inflammation
ANGPTL3	Q9Y5C1	Cardiometabolic
ANGPTL4	Q9BY76	Inflammation
ANGPTL7	O43827	Oncology
ANKRD54	Q6NXT1	Oncology
ANPEP	P15144	Cardiometabolic
ANXA10	Q9UJ72	Neurology
ANXA11	P50995	Inflammation
ANXA3	P12429	Neurology
